Party,District,Position,Name,RandX,RandY,PosParty,PopDistrict,Index,Row,Col,Row2,Col2
PSD,Faro,3, Ofélia Isabel Andrés da Conceição Ramos,0,0,6,8,1117,11,8,11,8
PSD,Guarda,1, Dulcineia Catarina Moura de Sousa Coito,0,0,6,9,1118,11,9,11,9
PSD,Leiria,1, Telmo Henrique Correia Daniel Faria,0,0,6,10,1119,11,10,11,10
PSD,Leiria,2, Hugo Patricio Martinho de Oliveira,0,0,6,10,1120,12,1,12,1
PSD,Leiria,3, Sofia Isabel Carreira,0,0,6,10,1121,12,2,12,2
PSD,Leiria,4, João Paulo Antunes dos Santos,0,0,6,10,1122,12,3,12,3
PSD,Leiria,5, Ricardo António Beato de Carvalho,0,0,6,10,1123,12,4,12,4
PSD,Lisboa,1, Luís Filipe Montenegro Cardoso de Morais Esteves,0,0,6,11,1124,12,5,12,5
PSD,Lisboa,2, Joaquim José Miranda Sarmento,0,0,6,11,1125,12,6,12,6
PSD,Lisboa,3, Ana Paula Mecheiro de Almeida Martins Silvestre Correia,0,0,6,11,1126,12,7,12,7
PSD,Lisboa,5, João Mário Mc Millan da Cunha Vale e Azevedo,0,0,6,11,1127,12,8,12,8
PSD,Lisboa,6, Sandra Cristina de Sequeiros Pereira,0,0,6,11,1128,12,9,12,9
PSD,Lisboa,7, Bruno Miguel Pedrosa Ventura,0,0,6,11,1129,12,10,12,10
PSD,Lisboa,8, Manuel Alexandre Mateus Homem Cristo,0,0,6,11,1130,13,1,13,1
PSD,Lisboa,9, Margarida Maria de Moura Alves da Silva de Almeida Saavedra,0,0,6,11,1131,13,2,13,2
PSD,Lisboa,10, Alexandre Damasceno da Silva Poço,0,0,6,11,1132,13,3,13,3
PSD,Lisboa,11, Gonçalo Oliveira Lage,0,0,6,11,1133,13,4,13,4
PSD,Lisboa,12, Eva Luna Brás Pinho,0,0,6,11,1134,13,5,13,5
PSD,Lisboa,13, Marco Henriques Claudino,0,0,6,11,1135,13,6,13,6
PSD,Lisboa,14, Luís Pedro Alves Caetano Newton Parreira,0,0,6,11,1136,13,7,13,7
PSD,Porto,1, José Miguel Ribeiro de Castro Guimarães,0,0,6,13,1137,13,8,13,8
PSD,Porto,3, Maria Germana de Sousa Rocha,0,0,6,13,1138,13,9,13,9
PSD,Porto,4, Óscar João Atanázio Afonso,0,0,6,13,1139,13,10,13,10
PSD,Porto,5, Alberto Amaro Guedes Machado,0,0,6,13,1140,14,1,14,1
PSD,Porto,6, Andreia Carina Machado da Silva Neto,0,0,6,13,1141,14,2,14,2
PSD,Porto,7, António Pedro Roque da Visitação Oliveira,0,0,6,13,1142,14,3,14,3
PSD,Porto,8, Francisco Sérgio Covelinhas Lopes,0,0,6,13,1143,14,4,14,4
PSD,Porto,9, Olga Cristina Rodrigues da Veiga Freire,0,0,6,13,1144,14,5,14,5
PSD,Porto,10, Hugo Miguel de Sousa Carneiro,0,0,6,13,1145,14,6,14,6
