Data,COIP,Valor
2012-06-15,Cabeleireiros,209.7
2012-07-15,HICP,167.3
2012-07-15,Cabeleireiros,210.1
2012-08-15,HICP,165.3
2012-08-15,Cabeleireiros,209.7
2012-09-15,HICP,169.5
2012-09-15,Cabeleireiros,208.6
2012-10-15,HICP,170.7
2012-10-15,Cabeleireiros,208.1
2012-11-15,HICP,170.2
2012-11-15,Cabeleireiros,207.8
2012-12-15,HICP,169.8
2012-12-15,Cabeleireiros,207.2
2013-01-15,HICP,167.4
2013-01-15,Cabeleireiros,206.6
2013-02-15,HICP,164.7
2013-02-15,Cabeleireiros,205.4
2013-03-15,HICP,168.8
2013-03-15,Cabeleireiros,205.4
2013-04-15,HICP,169.6
2013-04-15,Cabeleireiros,203.2
2013-05-15,HICP,169.6
2013-05-15,Cabeleireiros,202.9
2013-06-15,HICP,169.3
2013-06-15,Cabeleireiros,202.4
2013-07-15,HICP,166.5
2013-07-15,Cabeleireiros,202.6
2013-08-15,HICP,163.7
2013-08-15,Cabeleireiros,202.6
2013-09-15,HICP,167.8
2013-09-15,Cabeleireiros,201.2
2013-10-15,HICP,167.5
2013-10-15,Cabeleireiros,200.5
2013-11-15,HICP,165.3
2013-11-15,Cabeleireiros,199
2013-12-15,HICP,166.7
2013-12-15,Cabeleireiros,197.7
2014-01-15,HICP,165.1
2014-01-15,Cabeleireiros,197.9
2014-02-15,HICP,163.3
2014-02-15,Cabeleireiros,197.5
2014-03-15,HICP,166.3
2014-03-15,Cabeleireiros,197.4
2014-04-15,HICP,166.9
2014-04-15,Cabeleireiros,196.6
2014-05-15,HICP,165.9
2014-05-15,Cabeleireiros,196.3
2014-06-15,HICP,166.8
2014-06-15,Cabeleireiros,196.2
2014-07-15,HICP,165.1
2014-07-15,Cabeleireiros,195.7
2014-08-15,HICP,163.3
2014-08-15,Cabeleireiros,196
2014-09-15,HICP,165.9
2014-09-15,Cabeleireiros,196
2014-10-15,HICP,164.5
2014-10-15,Cabeleireiros,196
2014-11-15,HICP,163.3
2014-11-15,Cabeleireiros,196.6
2014-12-15,HICP,162.5
2014-12-15,Cabeleireiros,195.7
2015-01-15,HICP,160.5
2015-01-15,Cabeleireiros,195.3
2015-02-15,HICP,160.2
2015-02-15,Cabeleireiros,194.8
2015-03-15,HICP,163.2
2015-03-15,Cabeleireiros,194.8
2015-04-15,HICP,163.9
2015-04-15,Cabeleireiros,194.4
2015-05-15,HICP,163.6
2015-05-15,Cabeleireiros,194.4
2015-06-15,HICP,165
2015-06-15,Cabeleireiros,194.2
2015-07-15,HICP,163.1
2015-07-15,Cabeleireiros,194.3
2015-08-15,HICP,162.7
2015-08-15,Cabeleireiros,194.9
2015-09-15,HICP,164.6
2015-09-15,Cabeleireiros,193.5
2015-10-15,HICP,164.3
2015-10-15,Cabeleireiros,192.8
2015-11-15,HICP,163.1
2015-11-15,Cabeleireiros,192.7
2015-12-15,HICP,163.1
2015-12-15,Cabeleireiros,192.5
2016-01-15,HICP,160.3
2016-01-15,Cabeleireiros,192.3
2016-02-15,HICP,160.3
2016-02-15,Cabeleireiros,192.3
2016-03-15,HICP,162.1
2016-03-15,Cabeleireiros,192.1
2016-04-15,HICP,163.2
2016-04-15,Cabeleireiros,192.1
2016-05-15,HICP,163.2
2016-05-15,Cabeleireiros,191.4
2016-06-15,HICP,165.4
2016-06-15,Cabeleireiros,191.5
2016-07-15,HICP,163.4
2016-07-15,Cabeleireiros,191.4
2016-08-15,HICP,163.4
2016-08-15,Cabeleireiros,191.4
2016-09-15,HICP,164.6
2016-09-15,Cabeleireiros,191.6
2016-10-15,HICP,165.3
2016-10-15,Cabeleireiros,191.6
2016-11-15,HICP,162.9
2016-11-15,Cabeleireiros,192.1
2016-12-15,HICP,163.6
2016-12-15,Cabeleireiros,192.2
2017-01-15,HICP,162.8
2017-01-15,Cabeleireiros,191.5
2017-02-15,HICP,162.6
2017-02-15,Cabeleireiros,191.4
2017-03-15,HICP,164.8
2017-03-15,Cabeleireiros,191.4
2017-04-15,HICP,165.9
2017-04-15,Cabeleireiros,191.4
2017-05-15,HICP,165.7
2017-05-15,Cabeleireiros,191.3
2017-06-15,HICP,166.9
2017-06-15,Cabeleireiros,190.9
2017-07-15,HICP,164.9
2017-07-15,Cabeleireiros,190.9
2017-08-15,HICP,164.4
2017-08-15,Cabeleireiros,190.9
2017-09-15,HICP,166.3
2017-09-15,Cabeleireiros,190.6
2017-10-15,HICP,166
2017-10-15,Cabeleireiros,190.5
2017-11-15,HICP,164.6
2017-11-15,Cabeleireiros,190.5
2017-12-15,HICP,165.1
2017-12-15,Cabeleireiros,190.5
2018-01-15,HICP,163.1
2018-01-15,Cabeleireiros,190.5
2018-02-15,HICP,163.3
2018-02-15,Cabeleireiros,189.8
2018-03-15,HICP,165.2
2018-03-15,Cabeleireiros,190.9
2018-04-15,HICP,166.8
2018-04-15,Cabeleireiros,190.8
2018-05-15,HICP,166.9
2018-05-15,Cabeleireiros,190.9
2018-06-15,HICP,168.5
2018-06-15,Cabeleireiros,190.6
2018-07-15,HICP,166.2
2018-07-15,Cabeleireiros,190.6
2018-08-15,HICP,165.8
2018-08-15,Cabeleireiros,190.4
2018-09-15,HICP,168.1
2018-09-15,Cabeleireiros,190.4
2018-10-15,HICP,169
2018-10-15,Cabeleireiros,190.6
2018-11-15,HICP,166.3
2018-11-15,Cabeleireiros,190.6
2018-12-15,HICP,166.2
2018-12-15,Cabeleireiros,191.9
2019-01-15,HICP,164
2019-01-15,Cabeleireiros,191.9
2019-02-15,HICP,164.5
2019-02-15,Cabeleireiros,191.5
2019-03-15,HICP,166.9
2019-03-15,Cabeleireiros,191.5
2019-04-15,HICP,168.6
2019-04-15,Cabeleireiros,191.8
2019-05-15,HICP,167.9
2019-05-15,Cabeleireiros,191.8
2019-06-15,HICP,168.9
2019-06-15,Cabeleireiros,192
2019-07-15,HICP,166.9
2019-07-15,Cabeleireiros,192
2019-08-15,HICP,166
2019-08-15,Cabeleireiros,192
2019-09-15,HICP,168.5
2019-09-15,Cabeleireiros,191.8
2019-10-15,HICP,168.4
2019-10-15,Cabeleireiros,191.9
2019-11-15,HICP,167.2
2019-11-15,Cabeleireiros,191.9
2019-12-15,HICP,167.9
2019-12-15,Cabeleireiros,191.2
2020-01-15,HICP,165.8
2020-01-15,Cabeleireiros,191.2
2020-02-15,HICP,165.2
2020-02-15,Cabeleireiros,191.6
2020-03-15,HICP,167.2
2020-03-15,Cabeleireiros,191.6
2020-04-15,HICP,167
2020-04-15,Cabeleireiros,191.6
2020-05-15,HICP,166.8
2020-05-15,Cabeleireiros,192.1
2020-06-15,HICP,165.7
2020-06-15,Cabeleireiros,191
