Country,Year,Age,PopMale,PopFemale,PopTotal,RelMasc
Portugal,1954,1,95908,90657,186565,105.7922
Portugal,1954,2,92228,87281,179509,105.6679
Portugal,1954,3,84196,80708,164904,104.3218
Portugal,1954,4,87584,83511,171095,104.8772
Portugal,1954,5,90511,87602,178113,103.3207
Portugal,1954,6,86434,84316,170750,102.512
Portugal,1954,7,88088,85911,173999,102.534
Portugal,1954,8,85190,83289,168479,102.2824
Portugal,1954,9,82828,81894,164722,101.1405
Portugal,1954,10,81434,80576,162010,101.0648
Portugal,1954,11,74878,73658,148536,101.6563
Portugal,1954,12,70087,69717,139804,100.5307
Portugal,1954,13,74727,74934,149661,99.7238
Portugal,1954,14,74017,74823,148840,98.9228
Portugal,1954,15,79915,79699,159614,100.271
Portugal,1954,16,76058,76917,152975,98.8832
Portugal,1954,17,79856,79101,158957,100.9545
Portugal,1954,18,76574,77953,154527,98.231
Portugal,1954,19,75641,77530,153171,97.5635
Portugal,1954,20,76744,78260,155004,98.0629
Portugal,1954,21,79760,81906,161666,97.3799
Portugal,1954,22,71431,73316,144747,97.4289
Portugal,1954,23,71425,77218,148643,92.4979
Portugal,1954,24,72569,69243,141812,104.8034
Portugal,1954,25,72878,74931,147809,97.2601
Portugal,1954,26,69749,72056,141805,96.7983
Portugal,1954,27,70203,72529,142732,96.793
Portugal,1954,28,68386,72163,140549,94.766
Portugal,1954,29,66463,70172,136635,94.7144
Portugal,1954,30,63813,67025,130838,95.2078
Portugal,1954,31,63799,66527,130326,95.8994
Portugal,1954,32,57223,58693,115916,97.4954
Portugal,1954,33,63945,67963,131908,94.088
Portugal,1954,34,44277,45416,89693,97.4921
Portugal,1954,35,48724,52020,100744,93.664
Portugal,1954,36,49906,53387,103293,93.4797
Portugal,1954,37,49558,53619,103177,92.4262
Portugal,1954,38,52855,56458,109313,93.6183
Portugal,1954,39,52742,57072,109814,92.4131
Portugal,1954,40,52215,56322,108537,92.708
Portugal,1954,41,55511,61096,116607,90.8586
Portugal,1954,42,51195,54834,106029,93.3636
Portugal,1954,43,58166,65328,123494,89.0369
Portugal,1954,44,43943,46795,90738,93.9053
Portugal,1954,45,50281,55667,105948,90.3246
Portugal,1954,46,45299,51798,97097,87.4532
Portugal,1954,47,44005,51664,95669,85.1754
Portugal,1954,48,45030,52179,97209,86.2991
Portugal,1954,49,40908,48915,89823,83.6308
Portugal,1954,50,39854,47728,87582,83.5023
Portugal,1954,51,41207,50526,91733,81.556
Portugal,1954,52,37221,43367,80588,85.8279
Portugal,1954,53,44390,56214,100604,78.9661
Portugal,1954,54,29982,34808,64790,86.1354
Portugal,1954,55,33599,41432,75031,81.0943
Portugal,1954,56,30657,38188,68845,80.2791
Portugal,1954,57,29659,37509,67168,79.0717
Portugal,1954,58,30254,38791,69045,77.9923
Portugal,1954,59,29058,37555,66613,77.3745
Portugal,1954,60,26890,34413,61303,78.1391
Portugal,1954,61,27984,37039,65023,75.5528
Portugal,1954,62,23602,29861,53463,79.0395
Portugal,1954,63,29616,42632,72248,69.4689
Portugal,1954,64,20042,25295,45337,79.2331
Portugal,1954,65,23746,31688,55434,74.9369
Portugal,1954,66,21611,29327,50938,73.6898
Portugal,1954,67,20137,28425,48562,70.8426
Portugal,1954,68,19735,29490,49225,66.921
Portugal,1954,69,18692,27046,45738,69.1119
Portugal,1954,70,16257,23480,39737,69.2376
Portugal,1954,71,16020,24501,40521,65.3851
Portugal,1954,72,12661,17761,30422,71.2854
Portugal,1954,73,16418,26486,42904,61.9875
Portugal,1954,74,9413,13542,22955,69.5097
Portugal,1954,75,11058,17246,28304,64.1192
Portugal,1954,76,9764,14473,24237,67.4636
Portugal,1954,77,8511,13631,22142,62.4386
Portugal,1954,78,8320,14698,23018,56.6063
Portugal,1954,79,6675,11534,18209,57.8724
Portugal,1954,80,5663,11081,16744,51.1055
Portugal,1954,81,4747,9379,14126,50.6131
Portugal,1954,82,4051,8123,12174,49.8707
Portugal,1954,83,3358,7091,10449,47.3558
Portugal,1954,84,2681,5931,8612,45.2032
Portugal,1954,85,2071,4835,6906,42.8335
Portugal,1954,86,1651,3972,5623,41.566
Portugal,1954,87,1254,3179,4433,39.4464
Portugal,1954,88,915,2549,3464,35.8964
