DICOFRE,Freguesia,Concelho,Distrito,Area_ha,Des_Simpli,População,X,Y,Meridian
011319,Vila de Cucujães,Oliveira de Azeméis,Aveiro,1042.11,Vila de Cucujães,9962,-31518.16115,133853.5368,-1
011320,União das freguesias de Nogueira do Cravo e Pindelo,Oliveira de Azeméis,Aveiro,1254.22,Nogueira do Cravo e Pindelo,5090,-26272.1835,134230.6914,-1
011321,União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail,Oliveira de Azeméis,Aveiro,2594.45,O. Azeméis, Riba-Ul, Ul, Macinhata da Seixa, Madail,20665,-29505.81185,129761.3288,-1
011322,União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz,Oliveira de Azeméis,Aveiro,3275.64,Pinheiro da Bemposta, Travanca e Palmaz,6735,-28274.729,124575.0065,-1
011403,Oiã,Oliveira do Bairro,Aveiro,2632.24,Oiã,7862,-34742.33038,96591.53378,-1
011404,Oliveira do Bairro,Oliveira do Bairro,Aveiro,2255.33,Oliveira do Bairro,6385,-31440.32967,93896.69832,-1
011405,Palhaça,Oliveira do Bairro,Aveiro,1002.56,Palhaça,2664,-39880.65905,95271.24712,-1
011407,União das freguesias de Bustos, Troviscal e Mamarrosa,Oliveira do Bairro,Aveiro,2841.86,Bustos, Troviscal e Mamarrosa,6221,-37755.29962,91841.62351,-1
011502,Cortegaça,Ovar,Aveiro,922.86,Cortegaça,3746,-42327.22123,141392.0242,-1
011503,Esmoriz,Ovar,Aveiro,916.73,Esmoriz,11922,-41545.08136,143517.2652,-1
011504,Maceda,Ovar,Aveiro,1607.96,Maceda,3380,-42077.35197,139063.6086,-1
011507,Válega,Ovar,Aveiro,2683.03,Válega,6474,-38303.08656,129736.1418,-1
011509,União das freguesias de Ovar, São João, Arada e São Vicente de Pereira Jusã,Ovar,Aveiro,8639.67,Ovar, S. João, Arada e S. Vicente de Pereira Jusã,29431,-41483.52142,133001.834,-1
011601,São João da Madeira,São João da Madeira,Aveiro,794.3,São João da Madeira,22143,-30105.30818,136348.951,-1
011702,Couto de Esteves,Sever do Vouga,Aveiro,1642.39,Couto de Esteves,712,-14489.98626,121817.8803,0
011704,Pessegueiro do Vouga,Sever do Vouga,Aveiro,1585.48,Pessegueiro do Vouga,1715,-21492.69123,115484.1985,0
011705,Rocas do Vouga,Sever do Vouga,Aveiro,1481.82,Rocas do Vouga,1508,-17916.50817,120893.4383,0
011706,Sever do Vouga,Sever do Vouga,Aveiro,1158.09,Sever do Vouga,2715,-20759.2816,118047.2751,0
011708,Talhadas,Sever do Vouga,Aveiro,2864.13,Talhadas,1126,-16592.0143,110840.924,0
011710,União das freguesias de Cedrim e Paradela,Sever do Vouga,Aveiro,1837,Cedrim e Paradela,1355,-17778.65976,114720.2542,0
011711,União das freguesias de Silva Escura e Dornelas,Sever do Vouga,Aveiro,2418.65,Silva Escura e Dornelas,1932,-21310.20651,122253.552,0
011801,Calvão,Vagos,Aveiro,1484.41,Calvão,2186,-48418.88285,90612.78798,-1
011804,Gafanha da Boa Hora,Vagos,Aveiro,3721.55,Gafanha da Boa Hora,2848,-52268.09546,96585.3199,-1
011805,Ouca,Vagos,Aveiro,1627.19,Ouca,1750,-43049.95307,93340.04801,-1
011807,Sosa,Vagos,Aveiro,2169.33,Sosa,2817,-43119.19072,98142.66187,-1
011810,Santo André de Vagos,Vagos,Aveiro,1269.46,Santo André de Vagos,2046,-46740.25389,93195.49674,-1
011812,União das freguesias de Fonte de Angeão e Covão do Lobo,Vagos,Aveiro,1755.25,Fonte de Angeão e Covão do Lobo,2016,-44823.66994,86498.10533,-1
011813,União das freguesias de Ponte de Vagos e Santa Catarina,Vagos,Aveiro,1332.13,Ponte de Vagos e Santa Catarina,2883,-44291.21679,89618.49015,-1
011814,União das freguesias de Vagos e Santo António,Vagos,Aveiro,3132.19,Vagos e Santo António,6340,-48109.94139,97547.35358,-1
011901,Arões,Vale de Cambra,Aveiro,4033.47,Arões,1169,-12163.02389,127137.7273,0
011902,São Pedro de Castelões,Vale de Cambra,Aveiro,2109.91,São Pedro de Castelões,6831,-22001.19084,127457.0091,0
011903,Cepelos,Vale de Cambra,Aveiro,1892.83,Cepelos,1157,-16308.26913,129972.697,0
011905,Junqueira,Vale de Cambra,Aveiro,1803.83,Junqueira,834,-17036.95771,126005.968,0
011906,Macieira de Cambra,Vale de Cambra,Aveiro,1805.3,Macieira de Cambra,4390,-19734.55624,133499.0153,0
011907,Roge,Vale de Cambra,Aveiro,1759.58,Roge,1540,-16972.52653,132426.0965,0
011910,União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho,Vale de Cambra,Aveiro,1328.55,Vila Chã, Codal e Vila Cova de Perrinho,5348,-22465.52804,133316.7847,0
020102,Ervidel,Aljustrel,Beja,3885.08,Ervidel,917,4384.10892,-189407.2467,0
020103,Messejana,Aljustrel,Beja,11376.56,Messejana,811,-11738.90655,-202748.0611,0
020104,São João de Negrilhos,Aljustrel,Beja,7701.84,São João de Negrilhos,1360,-9386.52326,-190339.1486,0
020106,União das freguesias de Aljustrel e Rio de Moinhos,Aljustrel,Beja,22883.93,Aljustrel e Rio de Moinhos,5786,-1445.1392,-198964.5794,0
020203,Rosário,Almodôvar,Beja,6068.88,Rosário,592,4474.708577,-230178.1398,0
020205,Santa Cruz,Almodôvar,Beja,12338.05,Santa Cruz,483,14374.11561,-247953.1683,0
020206,São Barnabé,Almodôvar,Beja,14167.35,São Barnabé,371,-2070.285672,-254347.5033,0
020208,Aldeia dos Fernandes,Almodôvar,Beja,2125.8,Aldeia dos Fernandes,515,-4943.169049,-232963.7496,0
020209,União das freguesias de Almodôvar e Graça dos Padrões,Almodôvar,Beja,25706.57,Almodôvar e Graça dos Padrões,3966,8702.752199,-239695.5742,0
020210,União das freguesias de Santa Clara-a-Nova e Gomes Aires,Almodôvar,Beja,17381.37,Santa Clara-a-Nova e Gomes Aires,785,-3098.477521,-242937.6041,0
020301,Alvito,Alvito,Beja,13652.34,Alvito,1196,11136.85692,-160522.4818,0
020302,Vila Nova da Baronia,Alvito,Beja,12832.98,Vila Nova da Baronia,1084,4704.968019,-155532.5014,0
020401,Barrancos,Barrancos,Beja,16841.73,Barrancos,1438,94748.63832,-168195.9314,2
020502,Baleizão,Beja,Beja,13974.29,Baleizão,884,37152.19826,-179767.3129,1
020503,Beringel,Beja,Beja,1604.96,Beringel,1188,11755.4259,-178648.6625,0
020504,Cabeça Gorda,Beja,Beja,7815.68,Cabeça Gorda,1125,28931.05924,-195948.6,1
020506,Nossa Senhora das Neves,Beja,Beja,5314.38,Nossa Senhora das Neves,1525,29242.08158,-182474.5399,1
020510,Santa Clara de Louredo,Beja,Beja,7188.48,Santa Clara de Louredo,747,22041.77804,-189767.9746,0
020516,São Matias,Beja,Beja,7022.77,São Matias,513,24092.28142,-173420.921,0
020519,União das freguesias de Albernoa e Trindade,Beja,Beja,20938.5,Albernoa e Trindade,889,17318.79022,-200561.2495,0
020520,União das freguesias de Beja (Salvador e Santa Maria da Feira),Beja,Beja,2250.91,Beja (Salvador e Santa Maria da Feira),10710,24904.65857,-181571.3404,0
020521,União das freguesias de Beja (Santiago Maior e São João Baptista),Beja,Beja,5126.55,Beja (Santiago Maior e São João Baptista),13363,20208.57377,-183866.0134,0
020522,União das freguesias de Salvada e Quintos,Beja,Beja,19971.94,Salvada e Quintos,1181,36548.18994,-195887.5918,1
020523,União das freguesias de Santa Vitória e Mombeja,Beja,Beja,16613.15,Santa Vitória e Mombeja,784,10729.16686,-189917.1809,0
020524,União das freguesias de Trigaches e São Brissos,Beja,Beja,6825.93,Trigaches e São Brissos,485,16831.75413,-176738.5834,0
020603,Entradas,Castro Verde,Beja,7622.9,Entradas,593,13553.52644,-212753.5832,0
020604,Santa Bárbara de Padrões,Castro Verde,Beja,6631.47,Santa Bárbara de Padrões,731,15097.02762,-227919.7054,0
020605,São Marcos da Ataboeira,Castro Verde,Beja,10413.07,São Marcos da Ataboeira,260,19541.8338,-218218.2461,0
020606,União das freguesias de Castro Verde e Casével,Castro Verde,Beja,32276.78,Castro Verde e Casével,5289,3704.771046,-217077.4032,0
020701,Cuba,Cuba,Beja,7009.21,Cuba,3092,21118.29023,-165667.1782,0
020702,Faro do Alentejo,Cuba,Beja,4467.51,Faro do Alentejo,485,15246.45161,-169134.2336,0
020703,Vila Alva,Cuba,Beja,3719.77,Vila Alva,416,21389.59608,-157554.3357,0
020704,Vila Ruiva,Cuba,Beja,2012.23,Vila Ruiva,380,17557.58011,-156840.8116,0
020803,Figueira dos Cavaleiros,Ferreira do Alentejo,Beja,15420.19,Figueira dos Cavaleiros,1185,-13231.28197,-173277.7222,0
020804,Odivelas,Ferreira do Alentejo,Beja,11005.13,Odivelas,473,-3289.221279,-166721.9077,0
020807,União das freguesias de Alfundão e Peroguarda,Ferreira do Alentejo,Beja,8833.2,Alfundão e Peroguarda,1287,7762.049093,-172477.9679,0
020808,União das freguesias de Ferreira do Alentejo e Canhestros,Ferreira do Alentejo,Beja,29562.16,Ferreira do Alentejo e Canhestros,4739,-4922.019211,-180610.8823,0
020901,Alcaria Ruiva,Mértola,Beja,21666.87,Alcaria Ruiva,630,27804.51592,-212150.5966,1
020902,Corte do Pinto,Mértola,Beja,7145.95,Corte do Pinto,735,57525.08359,-216812.3646,1
020903,Espírito Santo,Mértola,Beja,13592.15,Espírito Santo,329,43919.21341,-234903.9386,1
020904,Mértola,Mértola,Beja,32277.03,Mértola,2504,41150.3469,-218200.0014,1
020905,Santana de Cambas,Mértola,Beja,16672.11,Santana de Cambas,750,52474.79474,-223968.7813,1
020906,São João dos Caldeireiros,Mértola,Beja,10395.45,São João dos Caldeireiros,442,28820.47522,-226152.1112,1
020910,União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros,Mértola,Beja,27537.77,S. Mig. Pinheiro, S. Pedro Solis, S. Sebastião dos Carros,816,27353.67549,-237321.3087,1
021001,Amareleja,Moura,Beja,10855.72,Amareleja,2030,79181.40436,-162438.0644,2
021002,Póvoa de São Miguel,Moura,Beja,18707.93,Póvoa de São Miguel,761,69014.65881,-157558.3563,1
021008,Sobral da Adiça,Moura,Beja,13819.58,Sobral da Adiça,862,74958.34341,-181215.228,1
021009,União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador,Moura,Beja,28741.83,Santo Agostinho e São João Baptista e Santo Amador,8039,64207.72074,-170277.1311,1
021010,União das freguesias de Safara e Santo Aleixo da Restauração,Moura,Beja,23720.49,Safara e Santo Aleixo da Restauração,1566,87479.43312,-176616.7761,2
021102,Relíquias,Odemira,Beja,12008.27,Relíquias,995,-35257.10544,-219032.3905,-1
021103,Sabóia,Odemira,Beja,15542.41,Sabóia,922,-35104.79476,-244660.1156,-1
021106,São Luís,Odemira,Beja,14664.69,São Luís,1883,-47322.09184,-218732.2317,-1
021107,São Martinho das Amoreiras,Odemira,Beja,14417.16,São Martinho das Amoreiras,1047,-22924.24315,-226151.7195,0
021111,Vila Nova de Milfontes,Odemira,Beja,7648.1,Vila Nova de Milfontes,5660,-54958.78217,-210640.1764,-1
021115,Luzianes-Gare,Odemira,Beja,9435.6,Luzianes-Gare,374,-32388.34565,-231370.1057,-1
021116,Boavista dos Pinheiros,Odemira,Beja,3784.53,Boavista dos Pinheiros,1975,-45465.30137,-233169.8226,-1
021117,Longueira/Almograve,Odemira,Beja,9169.06,Longueira/Almograve,2334,-55031.99373,-223670.6282,-1
021118,Colos,Odemira,Beja,10976.92,Colos,820,-33176.72736,-210938.9169,-1
021119,Santa Clara-a-Velha,Odemira,Beja,16367.35,Santa Clara-a-Velha,633,-26257.95083,-241895.8891,-1
021120,São Salvador e Santa Maria,Odemira,Beja,12099.74,São Salvador e Santa Maria,3373,-41631.13576,-227851.9309,-1
021121,São Teotónio,Odemira,Beja,34725.46,São Teotónio,8699,-49932.50551,-241443.4476,-1
021122,Vale de Santiago,Odemira,Beja,11220.87,Vale de Santiago,823,-28007.01335,-205642.685,-1
021203,Ourique,Ourique,Beja,24969.54,Ourique,2804,-9832.035731,-224596.7481,0
021206,Santana da Serra,Ourique,Beja,19094.23,Santana da Serra,660,-15363.25897,-241701.5472,0
021207,União das freguesias de Garvão e Santa Luzia,Ourique,Beja,7914.61,Garvão e Santa Luzia,887,-20855.94623,-216471.973,0
021208,União das freguesias de Panoias e Conceição,Ourique,Beja,14352.98,Panoias e Conceição,488,-15393.24683,-208967.9076,0
021302,Brinches,Serpa,Beja,9240.18,Brinches,930,47457.83103,-180844.6201,1
021303,Pias,Serpa,Beja,16386.16,Pias,2542,53555.49677,-175899.4463,1
021307,Vila Verde de Ficalho,Serpa,Beja,10539.44,Vila Verde de Ficalho,1255,72343.52016,-193295.7598,1
021308,União das freguesias de Serpa (Salvador e Santa Maria),Serpa,Beja,44372.78,Serpa (Salvador e Santa Maria),5595,50786.52377,-197708.4977,1
021309,União das freguesias de Vila Nova de São Bento e Vale de Vargo,Serpa,Beja,30024.78,Vila Nova de São Bento e Vale de Vargo,3435,64043.27713,-197003.0799,1
021401,Pedrógão,Vidigueira,Beja,12569.05,Pedrógão,937,44333.90353,-167504.2453,1
021402,Selmes,Vidigueira,Beja,13746.9,Selmes,780,32357.77609,-167636.4258,1
021403,Vidigueira,Vidigueira,Beja,2782.99,Vidigueira,2659,30527.74466,-160926.8796,1
021404,Vila de Frades,Vidigueira,Beja,2562.14,Vila de Frades,799,26290.9575,-159979.24,1
030102,Barreiros,Amares,Braga,298.65,Barreiros,739,-21885.58276,216394.5261,0
030104,Bico,Amares,Braga,229.36,Bico,816,-22654.16185,219297.8197,0
030105,Caires,Amares,Braga,471.55,Caires,878,-18303.12608,219768.0801,0
030107,Carrazedo,Amares,Braga,270.77,Carrazedo,723,-20999.77266,218076.6817,0
030108,Dornelas,Amares,Braga,338.62,Dornelas,510,-16304.82487,219342.3303,0
030111,Fiscal,Amares,Braga,389.69,Fiscal,712,-21706.45669,220419.5216,0
030112,Goães,Amares,Braga,302.78,Goães,490,-14853.86846,220447.8989,0
030113,Lago,Amares,Braga,399.01,Lago,1824,-23713.42394,216235.9161,0
030118,Rendufe,Amares,Braga,306.26,Rendufe,1080,-22828.03634,217998.7814,0
030119,Bouro (Santa Maria),Amares,Braga,691.97,Bouro (Santa Maria),659,-10870.08669,221794.4402,0
030120,Bouro (Santa Marta),Amares,Braga,949.93,Bouro (Santa Marta),427,-12916.53251,222541.5049,0
030125,União das freguesias de Amares e Figueiredo,Amares,Braga,456.07,Amares e Figueiredo,2767,-17078.66324,217833.3798,0
